ID,DataRow ID,Labeled Data,Label,Created By,Project Name,Created At,Updated At,Seconds to Label,External ID,Agreement,Benchmark Agreement,Benchmark ID,Benchmark Reference ID,Dataset Name,Reviews,View Label,Masks
cjub0wejhgdbk0987slsu4sf6,cjuaxrtn4vw770bqprf6ai5g8,https://storage.googleapis.com/labelbox-193903.appspot.com/cju8mzlk5zpif0755l7603h3w%2F47cbafa3-c3da-d60d-8002-80f5ffd07858-img_2000.png,Skip,damian.schori@gmail.com,Ampfer-Labeling Set2,1554889228000,1554889228000,7.185,img_2000.png,,,,,Ampfer Set 2,[],https://image-segmentation-v4.labelbox.com?project=cjub0t57vgc6w0817nrhxnoxv&label=cjub0wejhgdbk0987slsu4sf6,
cjub0xr10gkra087176el0k0z,cjuaxrtn4vw7b0bqpia87wsab,https://storage.googleapis.com/labelbox-193903.appspot.com/cju8mzlk5zpif0755l7603h3w%2F3c91ccf7-486f-6918-1382-dd3f5f5a40c1-img_2001.png,"{""Wurzelpunkt"":[{""geometry"":{""x"":821,""y"":424}},{""geometry"":{""x"":990,""y"":955}}],""Ampfer"":[{""geometry"":[{""x"":829,""y"":845},{""x"":829,""y"":1024},{""x"":1102,""y"":1024},{""x"":1102,""y"":845}]},{""geometry"":[{""x"":773,""y"":283},{""x"":773,""y"":503},{""x"":849,""y"":503},{""x"":849,""y"":283}]}],""bild_enthaelt_ampfer"":""ja""}",damian.schori@gmail.com,Ampfer-Labeling Set2,1554889291000,1554889663000,51.508,img_2001.png,,,,,Ampfer Set 2,[],https://image-segmentation-v4.labelbox.com?project=cjub0t57vgc6w0817nrhxnoxv&label=cjub0xr10gkra087176el0k0z,"{""Ampfer"":""https://faas-gateway.labelbox.com/function/mask-exporter?jwt=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJsYWJlbElkIjoiY2p1YjB4cjEwZ2tyYTA4NzE3NmVsMGsweiIsImNsYXNzTmFtZSI6IkFtcGZlciIsInVzZXJJZCI6ImNqdWIxYzJyNmd1Y2owODcxcm1xZTdoZjEiLCJpYXQiOjE1NjgyODI2NDgsImV4cCI6MTcyNTk2MjY0OH0.usiVT01Fvd57GJ5OBjsA3LsbO-YnvMSOqvsnLuuuvuw""}"
cjub13c5vgoaj0871g23i7mpd,cjuaxrtn4vw7f0bqp3ckdt8ws,https://storage.googleapis.com/labelbox-193903.appspot.com/cju8mzlk5zpif0755l7603h3w%2F67b3322b-39d4-d35a-2b45-4d75bfc97e10-img_2002.png,"{""bild_enthaelt_ampfer"":""nein""}",damian.schori@gmail.com,Ampfer-Labeling Set2,1554889551000,1554889551000,6.822,img_2002.png,,,,,Ampfer Set 2,[],https://image-segmentation-v4.labelbox.com?project=cjub0t57vgc6w0817nrhxnoxv&label=cjub13c5vgoaj0871g23i7mpd,
cjub13i45giwa0817vgbunqe8,cjuaxrtn4vw7j0bqpaj8tqijo,https://storage.googleapis.com/labelbox-193903.appspot.com/cju8mzlk5zpif0755l7603h3w%2F6f833edc-609b-82fc-fb08-bef3337db468-img_2003.png,Skip,damian.schori@gmail.com,Ampfer-Labeling Set2,1554889559000,1554889559000,7.218,img_2003.png,,,,,Ampfer Set 2,[],https://image-segmentation-v4.labelbox.com?project=cjub0t57vgc6w0817nrhxnoxv&label=cjub13i45giwa0817vgbunqe8,
cjub13k2vgohw08710zcqyjkl,cjuaxrtn4vw7n0bqpajkfisu4,https://storage.googleapis.com/labelbox-193903.appspot.com/cju8mzlk5zpif0755l7603h3w%2F82ee6a9c-f94a-06b7-cad9-724de9985b59-img_2004.png,Skip,damian.schori@gmail.com,Ampfer-Labeling Set2,1554889561000,1554889561000,2.253,img_2004.png,,,,,Ampfer Set 2,[],https://image-segmentation-v4.labelbox.com?project=cjub0t57vgc6w0817nrhxnoxv&label=cjub13k2vgohw08710zcqyjkl,
cjub13lf0gcxt0755xw1jddvj,cjuaxrtn4vw7r0bqpmqg977ia,https://storage.googleapis.com/labelbox-193903.appspot.com/cju8mzlk5zpif0755l7603h3w%2F204b9100-def5-eef9-d97c-2e02a376a47b-img_2005.png,Skip,damian.schori@gmail.com,Ampfer-Labeling Set2,1554889563000,1554889563000,1.448,img_2005.png,,,,,Ampfer Set 2,[],https://image-segmentation-v4.labelbox.com?project=cjub0t57vgc6w0817nrhxnoxv&label=cjub13lf0gcxt0755xw1jddvj,
cjub13ucpgon00871269su97j,cjuaxrtn4vw7v0bqp79umt5m5,https://storage.googleapis.com/labelbox-193903.appspot.com/cju8mzlk5zpif0755l7603h3w%2Ffb07e63c-c002-eecc-16b4-113d6b54c12b-img_2006.png,Skip,damian.schori@gmail.com,Ampfer-Labeling Set2,1554889575000,1554889575000,1.145,img_2006.png,,,,,Ampfer Set 2,[],https://image-segmentation-v4.labelbox.com?project=cjub0t57vgc6w0817nrhxnoxv&label=cjub13ucpgon00871269su97j,
cjub1451cgj000987r8uc9ub6,cjuaxrtn5vw7z0bqp7oc71zg6,https://storage.googleapis.com/labelbox-193903.appspot.com/cju8mzlk5zpif0755l7603h3w%2Feaf3ce1e-a2a4-07c4-c028-c7e8b0aeefa9-img_2007.png,Skip,damian.schori@gmail.com,Ampfer-Labeling Set2,1554889589000,1554889589000,1.918,img_2007.png,,,,,Ampfer Set 2,[],https://image-segmentation-v4.labelbox.com?project=cjub0t57vgc6w0817nrhxnoxv&label=cjub1451cgj000987r8uc9ub6,
cjujjybtdjbzh07551gqvrw97,cjuaxrtn5vw830bqp85yco7m4,https://storage.googleapis.com/labelbox-193903.appspot.com/cju8mzlk5zpif0755l7603h3w%2F068d1d5d-0443-8ccb-9ff1-61b01f9c0168-img_2008.png,"{""Wurzelpunkt"":[{""geometry"":{""x"":651,""y"":493}},{""geometry"":{""x"":577,""y"":400}},{""geometry"":{""x"":416,""y"":649}},{""geometry"":{""x"":420,""y"":340}},{""geometry"":{""x"":938,""y"":128}},{""geometry"":{""x"":358,""y"":264}},{""geometry"":{""x"":887,""y"":634}},{""geometry"":{""x"":703,""y"":445}},{""geometry"":{""x"":178,""y"":594}},{""geometry"":{""x"":386,""y"":952}},{""geometry"":{""x"":349,""y"":123}},{""geometry"":{""x"":583,""y"":51}}],""Ampfer"":[{""geometry"":[{""x"":493,""y"":400},{""x"":493,""y"":612},{""x"":856,""y"":612},{""x"":856,""y"":400}]},{""geometry"":[{""x"":765,""y"":568},{""x"":386,""y"":568},{""x"":386,""y"":203},{""x"":765,""y"":203}]},{""geometry"":[{""x"":301,""y"":548},{""x"":301,""y"":750},{""x"":522,""y"":750},{""x"":522,""y"":548}]},{""geometry"":[{""x"":327,""y"":267},{""x"":327,""y"":420},{""x"":513,""y"":420},{""x"":513,""y"":267}]},{""geometry"":[{""x"":1056,""y"":220},{""x"":823,""y"":220},{""x"":823,""y"":31},{""x"":1056,""y"":31}]},{""geometry"":[{""x"":183,""y"":134},{""x"":183,""y"":383},{""x"":505,""y"":383},{""x"":505,""y"":134}]},{""geometry"":[{""x"":690,""y"":525},{""x"":690,""y"":730},{""x"":1103,""y"":730},{""x"":1103,""y"":525}]},{""geometry"":[{""x"":928,""y"":566},{""x"":516,""y"":566},{""x"":516,""y"":330},{""x"":928,""y"":330}]},{""geometry"":[{""x"":284,""y"":720},{""x"":75,""y"":720},{""x"":75,""y"":475},{""x"":284,""y"":475}]},{""geometry"":[{""x"":537,""y"":1023},{""x"":236,""y"":1023},{""x"":236,""y"":868},{""x"":537,""y"":868}]},{""geometry"":[{""x"":117,""y"":23},{""x"":117,""y"":207},{""x"":559,""y"":207},{""x"":559,""y"":23}]},{""geometry"":[{""x"":678,""y"":99},{""x"":495,""y"":99},{""x"":495,""y"":0},{""x"":678,""y"":0}]}],""bild_enthaelt_ampfer"":""ja""}",thainna.waldburger@agroscope.admin.ch,Ampfer-Labeling Set2,1555404960000,1560852677000,982.634,img_2008.png,,,,,Ampfer Set 2,[],https://image-segmentation-v4.labelbox.com?project=cjub0t57vgc6w0817nrhxnoxv&label=cjujjybtdjbzh07551gqvrw97,"{""Ampfer"":""https://faas-gateway.labelbox.com/function/mask-exporter?jwt=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJsYWJlbElkIjoiY2p1amp5YnRkamJ6aDA3NTUxZ3F2cnc5NyIsImNsYXNzTmFtZSI6IkFtcGZlciIsInVzZXJJZCI6ImNqdWIxYzJyNmd1Y2owODcxcm1xZTdoZjEiLCJpYXQiOjE1NjgyODI2NDgsImV4cCI6MTcyNTk2MjY0OH0.lGJh8bns4QfbBmyizWbyZ_6x4py9BCY8HO5mjzwf_ds""}"
cjujk4s01jl480817aoglss64,cjuaxrtn5vw870bqpp3wkhu79,https://storage.googleapis.com/labelbox-193903.appspot.com/cju8mzlk5zpif0755l7603h3w%2F84bba981-643c-31a8-37ed-2a41ff3cbc4f-img_2009.png,"{""Wurzelpunkt"":[{""geometry"":{""x"":545,""y"":699}},{""geometry"":{""x"":1020,""y"":106}},{""geometry"":{""x"":811,""y"":235}},{""geometry"":{""x"":1056,""y"":489}},{""geometry"":{""x"":772,""y"":670}},{""geometry"":{""x"":1074,""y"":733}},{""geometry"":{""x"":150,""y"":334}},{""geometry"":{""x"":389,""y"":52}},{""geometry"":{""x"":1349,""y"":627}},{""geometry"":{""x"":334,""y"":667}}],""Ampfer"":[{""geometry"":[{""x"":734,""y"":881},{""x"":344,""y"":881},{""x"":344,""y"":540},{""x"":734,""y"":540}]},{""geometry"":[{""x"":849,""y"":0},{""x"":849,""y"":243},{""x"":1174,""y"":243},{""x"":1174,""y"":0}]},{""geometry"":[{""x"":969,""y"":412},{""x"":621,""y"":412},{""x"":621,""y"":70},{""x"":969,""y"":70}]},{""geometry"":[{""x"":851,""y"":311},{""x"":851,""y"":685},{""x"":1256,""y"":685},{""x"":1256,""y"":311}]},{""geometry"":[{""x"":607,""y"":528},{""x"":607,""y"":837},{""x"":942,""y"":837},{""x"":942,""y"":528}]},{""geometry"":[{""x"":938,""y"":541},{""x"":938,""y"":944},{""x"":1221,""y"":944},{""x"":1221,""y"":541}]},{""geometry"":[{""x"":0,""y"":133},{""x"":0,""y"":548},{""x"":311,""y"":548},{""x"":311,""y"":133}]},{""geometry"":[{""x"":492,""y"":140},{""x"":282,""y"":140},{""x"":282,""y"":1},{""x"":492,""y"":1}]},{""geometry"":[{""x"":1466,""y"":772},{""x"":1235,""y"":772},{""x"":1235,""y"":469},{""x"":1466,""y"":469}]},{""geometry"":[{""x"":140,""y"":558},{""x"":140,""y"":809},{""x"":505,""y"":809},{""x"":505,""y"":558}]}],""bild_enthaelt_ampfer"":""ja""}",thainna.waldburger@agroscope.admin.ch,Ampfer-Labeling Set2,1555405260000,1560852621000,299.749,img_2009.png,,,,,Ampfer Set 2,[],https://image-segmentation-v4.labelbox.com?project=cjub0t57vgc6w0817nrhxnoxv&label=cjujk4s01jl480817aoglss64,"{""Ampfer"":""https://faas-gateway.labelbox.com/function/mask-exporter?jwt=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJsYWJlbElkIjoiY2p1ams0czAxamw0ODA4MTdhb2dsc3M2NCIsImNsYXNzTmFtZSI6IkFtcGZlciIsInVzZXJJZCI6ImNqdWIxYzJyNmd1Y2owODcxcm1xZTdoZjEiLCJpYXQiOjE1NjgyODI2NDgsImV4cCI6MTcyNTk2MjY0OH0.K5TJF3YLGbjPp-N_XyhP9oHAo9BCF75jRiBI_WVlKWg""}"
